trade_number,date,platform,transaction_type,amount,price,currency,transfer_method,order_invoice_number,platform_fee
,2024-03-02 21:31:22,OKX,Sell,108.1,4.070305272895467,PLN,Zen,240302213121520,0.0
,2024-02-29 03:20:28,OKX,Sell,21.48,0.931098696461825,EUR,SEPA,240229032027644,0.0
,2024-02-29 02:18:10,OKX,Sell,107.29,0.9320533134495292,EUR,SEPA,240229021809234,0.0
,2024-02-29 01:50:21,OKX,Sell,16.09,0.9322560596643878,EUR,SEPA,240229015020132,0.0
,2024-02-29 01:42:53,OKX,Sell,16.09,0.9322560596643878,EUR,SEPA,240229014252821,0.0
,2024-02-29 01:17:37,OKX,Sell,32.18,0.9322560596643878,EUR,SEPA,240229011736806,0.0
,2024-02-29 01:16:13,OKX,Sell,214.59,0.9320098793047206,EUR,SEPA,240229011613520,0.0
,2024-02-29 01:11:01,OKX,Sell,107.29,0.9320533134495292,EUR,SEPA,240229011100764,0.0
,2024-02-29 00:57:41,OKX,Sell,53.64,0.9321401938851603,EUR,SEPA,240229005741606,0.0
,2024-02-29 00:44:10,OKX,Sell,53.64,0.9321401938851603,EUR,SEPA,240229004409690,0.0
,2024-02-28 23:27:34,OKX,Sell,16.09,0.9322560596643878,EUR,SEPA,240228232734701,0.0
,2024-02-28 23:12:17,OKX,Sell,107.29,0.9320533134495292,EUR,SEPA,240228231216524,0.0
,2024-02-28 23:00:08,OKX,Sell,160.94,0.9320243569031937,EUR,Zen,240228230007523,0.0
,2024-02-28 22:59:59,OKX,Sell,107.18,0.9330098899048329,EUR,SEPA,240228225958751,0.0
,2024-02-28 22:38:24,OKX,Sell,165.23,0.9320341342371241,EUR,SEPA,240228223823601,0.0
,2024-02-28 21:33:40,OKX,Sell,107.18,0.9330098899048329,EUR,SEPA,240228213339195,0.0
,2024-02-27 03:41:45,OKX,Sell,161.11,0.9310409037303705,EUR,SEPA,240227034144769,0.0
,2024-02-27 02:36:35,OKX,Sell,397.42,0.9310049821347692,EUR,SEPA,240227023634651,0.0
,2024-02-26 23:38:44,OKX,Sell,107.52,0.9300595238095238,EUR,SEPA,240226233843731,0.0
,2024-02-26 23:20:05,OKX,Sell,215.05,0.9300162752848175,EUR,SEPA,240226232004143,0.0
,2024-02-26 01:55:52,OKX,Sell,246.3,4.060089321965083,PLN,Zen,240226015551327,0.0
,2024-02-25 04:27:41,OKX,Sell,12.31,4.061738424045491,PLN,Zen,240225042741728,0.0
,2024-02-25 03:51:11,OKX,Sell,10.83,4.062788550323177,PLN,Zen,240225035110599,0.0
,2024-02-24 03:22:55,OKX,Sell,32.17,4.041032017407522,PLN,Zen,240224032254773,0.0
,2024-02-24 02:29:06,OKX,Sell,2098.76,4.050010482380071,PLN,Zen,240224022906454,0.0
,2024-02-23 00:34:05,OKX,Sell,302.57,0.9320157318967511,EUR,SEPA,240223003404313,0.0
,2024-02-23 00:17:37,OKX,Sell,303.11,0.9320048827158457,EUR,Zen,240223001736342,0.0
,2024-02-22 22:13:53,OKX,Sell,268.81,0.9300249246679811,EUR,SEPA,240222221352295,0.0
,2024-02-22 22:07:19,OKX,Sell,107.52,0.9300595238095238,EUR,SEPA,240222220719551,0.0
,2024-02-22 03:11:23,OKX,Sell,31.74,0.9332073093887839,EUR,SEPA,240222031122166,0.0
,2024-02-22 01:10:58,OKX,Sell,749.46,0.9340058175219491,EUR,Zen,240222011057709,0.0
,2024-02-21 22:56:27,OKX,Sell,107.06,0.9340556697179152,EUR,SEPA,240221225626309,0.0
,2024-02-21 22:17:04,OKX,Sell,48.12,0.9351620947630923,EUR,SEPA,240221221703100,0.0
,2024-02-21 22:14:17,OKX,Sell,160.42,0.9350455055479368,EUR,SEPA,240221221416923,0.0
,2024-02-21 22:10:42,OKX,Sell,32.08,0.9351620947630923,EUR,SEPA,240221221041915,0.0
,2024-02-21 21:37:03,OKX,Sell,106.95,0.9350163627863487,EUR,SEPA,240221213702323,0.0
,2024-02-21 03:52:40,OKX,Sell,42.68,0.9372071227741331,EUR,SEPA,240221035240889,0.0
,2024-02-21 01:53:01,OKX,Sell,21.45,0.9324009324009325,EUR,SEPA,240221015300864,0.0
,2024-02-21 01:41:55,OKX,Sell,16.09,0.9322560596643878,EUR,Zen,240221014155387,0.0
,2024-02-21 01:21:31,OKX,Sell,160.94,0.9320243569031937,EUR,SEPA,240221012130595,0.0
,2024-02-21 00:22:28,OKX,Sell,53.47,0.9351037965214138,EUR,SEPA,240221002227842,0.0
,2024-02-20 02:40:28,OKX,Sell,17.07,0.9373169302870533,EUR,SEPA,240220024027141,0.0
,2024-02-20 01:44:53,OKX,Sell,16.0,0.9375,EUR,SEPA,240220014452747,0.0
,2024-02-20 01:14:03,OKX,Sell,26.68,0.9370314842578711,EUR,SEPA,240220011403588,0.0
,2024-02-19 23:24:44,OKX,Sell,53.36,0.9370314842578711,EUR,SEPA,240219232444201,0.0
,2024-02-19 22:13:48,OKX,Sell,43.8,0.9360730593607307,EUR,SEPA,240219221347868,0.0
,2024-02-19 02:24:01,OKX,Sell,106.83,0.9360666479453337,EUR,SEPA,240219022401239,0.0
,2024-02-19 00:37:54,OKX,Sell,54.48,0.9361233480176212,EUR,SEPA,240219003754574,0.0
,2024-02-19 00:18:27,OKX,Sell,32.05,0.93603744149766,EUR,SEPA,240219001826934,0.0
,2024-02-16 02:24:36,OKX,Sell,171.12,0.9350163627863487,EUR,SEPA,240216022435494,0.0
,2024-02-16 02:01:57,OKX,Sell,10.9,0.9357798165137614,EUR,Zen,240216020156429,0.0
,2024-02-16 00:14:47,OKX,Sell,96.15,0.9360374414976599,EUR,SEPA,240216001446164,0.0
,2024-02-16 00:04:10,OKX,Sell,29.91,0.9361417586091608,EUR,SEPA,240216000409372,0.0
,2024-02-16 00:02:48,OKX,Sell,18.16,0.9361233480176211,EUR,SEPA,240216000248505,0.0
,2024-02-14 01:51:29,OKX,Buy,1393.35,0.9330031937417017,EUR,SEPA,240214015128715,0.0
,2024-02-12 19:51:52,OKX,Buy,1469.3,0.928993398216838,EUR,SEPA,240212195151391,0.0
,2024-02-12 06:23:54,OKX,Buy,1093.9,0.9279915897248376,EUR,SEPA,240212062353514,0.0
,2024-02-12 01:49:44,OKX,Sell,160.42,0.9350455055479368,EUR,SEPA,240212014944611,0.0
,2024-02-11 20:30:16,OKX,Buy,250.0,4.02,PLN,Zen,240211203016253,0.0
,2024-02-09 02:49:43,OKX,Sell,1068.37,0.9360053165101979,EUR,SEPA,240209024942107,0.0
,2024-02-09 02:41:37,OKX,Sell,106.72,0.9370314842578711,EUR,SEPA,240209024136650,0.0
,2024-02-09 01:58:30,OKX,Sell,6.87,4.075691411935954,PLN,Zen,240209015829499,0.0
,2024-02-09 01:42:59,OKX,Sell,2.45,4.081632653061225,PLN,Zen,240209014258751,0.0
,2024-02-09 01:42:14,OKX,Sell,2.45,4.081632653061225,PLN,Zen,240209014213334,0.0
,2024-02-08 01:32:00,OKX,Buy,1077.58,0.928005345310789,EUR,SEPA,240208013159462,0.0
,2024-02-08 01:05:18,OKX,Sell,106.26,0.9410878976096367,EUR,SEPA,240208010517798,0.0
,2024-02-08 00:17:56,OKX,Sell,21.25,0.9411764705882353,EUR,SEPA,240208001756746,0.0
,2024-02-07 23:34:58,OKX,Sell,53.13,0.9410878976096367,EUR,SEPA,240207233457369,0.0
,2024-02-07 22:58:59,OKX,Sell,31.88,0.9410288582183187,EUR,SEPA,240207225858738,0.0
,2024-02-07 02:52:42,OKX,Sell,160.25,0.9360374414976599,EUR,SEPA,240207025241923,0.0
,2024-02-07 02:28:05,OKX,Sell,213.44,0.9370314842578711,EUR,SEPA,240207022805708,0.0
,2024-02-07 00:03:38,OKX,Sell,4.37,4.118993135011442,PLN,Zen,240207000338272,0.0
,2024-02-04 03:32:10,OKX,Sell,94.05,4.040404040404041,PLN,Zen,240204033209472,0.0
,2024-02-04 01:50:05,OKX,Sell,74.25,4.040404040404041,PLN,Zen,240204015005933,0.0
,2024-02-04 00:24:14,OKX,Sell,24.75,4.040404040404041,PLN,Zen,240204002413162,0.0
,2024-02-03 23:41:36,OKX,Sell,2.72,4.044117647058823,PLN,Zen,240203234135305,0.0
,2024-02-03 23:37:42,OKX,Sell,198.01,4.0401999898995005,PLN,Zen,240203233741680,0.0
,2024-02-03 23:36:55,OKX,Sell,108.91,4.040033054815903,PLN,Zen,240203233654817,0.0
,2024-02-02 23:27:24,OKX,Sell,2.47,4.048582995951417,PLN,Zen,240202232723606,0.0
,2024-02-02 01:21:13,OKX,Sell,744.41,4.0300372106769125,PLN,Zen,240202012112109,0.0
,2024-02-01 23:52:56,OKX,Buy,138.3,0.9199566160520607,EUR,SEPA,240201235255310,0.0
,2024-02-01 23:43:56,OKX,Buy,180.0,0.9199999999999999,EUR,SEPA,240201234355175,0.0
,2024-02-01 03:00:13,OKX,Sell,884.56,0.7970064212715927,GBP,Zen,240201030013489,0.0
,2024-02-01 00:11:04,OKX,Sell,121.28,4.0402374670184695,PLN,Zen,240201001104159,0.0
,2024-01-31 23:38:49,OKX,Sell,49.5,4.040404040404041,PLN,Zen,240131233848592,0.0
,2024-01-31 23:38:19,OKX,Sell,49.5,4.040404040404041,PLN,Zen,240131233818745,0.0
,2024-01-31 23:01:43,OKX,Sell,866.33,4.040030935094017,PLN,Zen,240131230142823,0.0
,2024-01-31 21:49:10,OKX,Sell,504.92,4.060049116691753,PLN,Zen,240131214909636,0.0
,2024-01-31 19:38:06,OKX,Sell,737.1,4.07000407000407,PLN,Zen,240131193806225,0.0
,2024-01-31 19:10:13,OKX,Sell,982.8,4.07000407000407,PLN,Zen,240131191013279,0.0
,2024-01-31 19:01:24,OKX,Sell,25.79,4.07134548274525,PLN,Zen,240131190123266,0.0
,2024-01-31 19:01:22,OKX,Sell,1945.87,0.8757008433245798,CHF,Zen,240131190122790,0.0
,2024-01-31 02:14:07,OKX,Sell,122.54,4.080300310102824,PLN,Zen,240131021406396,0.0
,2024-01-30 17:10:50,OKX,Sell,47.61,0.7981516488132745,GBP,Zen,240130171049992,0.0
,2024-01-24 02:49:23,OKX,Sell,51.5,0.9320388349514563,EUR,SEPA,240124024922199,0.0
,2024-01-24 01:09:33,OKX,Sell,16.09,0.9322560596643878,EUR,SEPA,240124010932821,0.0
,2024-01-24 00:55:42,OKX,Sell,107.75,0.9280742459396751,EUR,SEPA,240124005541852,0.0
,2024-01-23 01:51:01,OKX,Sell,21.57,0.9272137227630969,EUR,SEPA,240123015100967,0.0
,2024-01-23 01:23:18,OKX,Sell,107.87,0.9270418095856122,EUR,SEPA,240123012317327,0.0
,2024-01-23 01:20:19,OKX,Sell,107.87,0.9270418095856122,EUR,SEPA,240123012019590,0.0
,2024-01-23 00:41:58,OKX,Sell,215.74,0.9270418095856122,EUR,SEPA,240123004158477,0.0
,2024-01-22 23:46:54,OKX,Sell,107.87,0.9270418095856122,EUR,SEPA,240122234653774,0.0
,2024-01-22 22:53:01,OKX,Sell,16.18,0.927070457354759,EUR,SEPA,240122225300178,0.0
,2024-01-21 02:31:05,OKX,Sell,53.99,0.9260974254491572,EUR,SEPA,240121023105380,0.0
,2024-01-21 02:15:00,OKX,Sell,45.35,0.9261300992282249,EUR,SEPA,240121021459214,0.0
