"Order Number","Order Type","Asset Type","Fiat Type","Total Price","Price","Quantity","Exchange rate","Fee Amount","Fee Rate","Couterparty","Status","Created Time"
"20587849368043175936","Sell","USDT","EUR","20.0000000000000000","0.9350000000000000","21.3900000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 15:50:15"
"20587849462347509760","Sell","USDT","EUR","215.0000000000000000","0.9350000000000000","229.9400000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 15:50:37"
"20587853195502116864","Sell","USDT","EUR","10.0000000000000000","0.9350000000000000","10.6900000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 16:05:27"
"20587853536838713344","Sell","USDT","EUR","50.0000000000000000","0.9350000000000000","53.4700000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 16:06:49"
"20587853840325165056","Sell","USDT","EUR","21.0000000000000000","0.9340000000000000","22.4800000000000000","0.93","0.00000000","0.00000000","tugarchik2256","Completed","2024-02-05 16:08:01"
"20587855326315737088","Sell","USDT","EUR","25.0000000000000000","0.9340000000000000","26.7600000000000000","0.93","0.00000000","0.00000000","muhab","Completed","2024-02-05 16:13:55"
"20587858513228627968","Sell","USDT","EUR","41.4000000000000000","0.9350000000000000","44.2700000000000000","0.93","0.00000000","0.00000000","forceTrade24","Cancelled","2024-02-05 16:26:35"
"20587860110378213376","Sell","USDT","EUR","224.9200000000000000","0.9340000000000000","240.8100000000000000","0.93","0.00000000","0.00000000","","System cancelled","2024-02-05 16:32:56"
"20587860165956354048","Sell","USDT","EUR","100.0000000000000000","0.9340000000000000","107.0600000000000000","0.93","0.00000000","0.00000000","","System cancelled","2024-02-05 16:33:09"
"20587863723035217920","Sell","USDT","EUR","50.0000000000000000","0.9340000000000000","53.5300000000000000","0.93","0.00000000","0.00000000","","Completed","2024-02-05 16:47:17"
"20587865614135369728","Sell","USDT","EUR","75.0000000000000000","0.9340000000000000","80.2900000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 16:54:48"
"20587866362884280320","Sell","USDT","EUR","75.0000000000000000","0.9340000000000000","80.2900000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 16:57:47"
"20587866861936291840","Sell","USDT","EUR","10.0000000000000000","0.9340000000000000","10.7000000000000000","0.93","0.00000000","0.00000000","Mohammedelrubbat","System cancelled","2024-02-05 16:59:46"
"20587870839255437312","Sell","USDT","EUR","27.1400000000000000","0.9340000000000000","29.0500000000000000","0.93","0.00000000","0.00000000","tarek92gfx","Cancelled","2024-02-05 17:15:34"
"20587872235288829952","Sell","USDT","EUR","35.0000000000000000","0.9340000000000000","37.4700000000000000","0.93","0.00000000","0.00000000","","System cancelled","2024-02-05 17:21:07"
"20587875391334719488","Sell","USDT","EUR","299.0000000000000000","0.9330000000000000","320.4700000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 17:33:39"
"20587878814780178432","Sell","USDT","EUR","10.0000000000000000","0.9340000000000000","10.7000000000000000","0.93","0.00000000","0.00000000","","Cancelled","2024-02-05 17:47:15"
