UID:495670678712935538,﻿Name:BitFiSwap s.r.o.,﻿Account Type:Main,﻿Account Name:bitfiswap@gmail.com
﻿id,Time,Type,Amount,Before Balance,After Balance,Fee,Symbol
﻿4171536801,2024-03-02 23:17:54,Place an order,-456.49,12056.36691817,11599.87691817,0.0,USDT
﻿4171259020,2024-03-02 22:30:15,Place an order,-402.79,12459.15691817,12056.36691817,0.0,USDT
﻿4170941089,2024-03-02 21:31:22,Place an order,-108.1,12567.25691817,12459.15691817,0.0,USDT
﻿4170634896,2024-03-02 20:32:32,Cancel an order,268.52,12298.73691817,12567.25691817,0.0,USDT
﻿4170591349,2024-03-02 20:17:28,Place an order,-268.52,12567.25691817,12298.73691817,0.0,USDT
﻿4170384765,2024-03-02 19:43:33,Place an order,-429.64,12996.89691817,12567.25691817,0.0,USDT
﻿4169932469,2024-03-02 18:10:09,Cancel an order,322.23,12674.66691817,12996.89691817,0.0,USDT
﻿4169797401,2024-03-02 17:55:05,Place an order,-322.23,12996.89691817,12674.66691817,0.0,USDT
﻿4169636795,2024-03-02 17:15:43,Cancel an order,375.93,12620.96691817,12996.89691817,0.0,USDT
﻿4169633735,2024-03-02 17:14:49,Place an order,-375.93,12996.89691817,12620.96691817,0.0,USDT
﻿4167027088,2024-03-02 08:56:39,Unfrozen by customer service,209.0,12996.89691817,13205.89691817,0.0,USDT
﻿4167027089,2024-03-02 08:56:39,Transferred by customer service,-209.0,13205.89691817,12996.89691817,0.0,USDT
﻿4164889876,2024-03-02 00:25:31,Frozen by customer service,-209.0,13205.89691817,12996.89691817,0.0,USDT
﻿4163036023,2024-03-01 18:44:12,Unfrozen by customer service,107.29,13205.89691817,13313.18691817,0.0,USDT
﻿4163036028,2024-03-01 18:44:12,Transferred by customer service,-107.29,13313.18691817,13205.89691817,0.0,USDT
﻿4161416958,2024-03-01 13:17:57,Frozen by customer service,-107.29,13313.18691817,13205.89691817,0.0,USDT
﻿4157914805,2024-03-01 01:04:05,Simple Earn redemption,13313.18691817,0.0,13313.18691817,0.0,USDT
﻿4150213132,2024-02-29 03:56:51,Simple Earn subscription,-107.41,107.41,0.0,0.0,USDT
﻿4150175371,2024-02-29 03:49:30,Cancel an order,53.7,53.71,107.41,0.0,USDT
﻿4150170857,2024-02-29 03:48:34,Place an order,-53.7,107.41,53.71,0.0,USDT
﻿4150169439,2024-02-29 03:48:12,Cancel an order,107.41,0.0,107.41,0.0,USDT
﻿4150152423,2024-02-29 03:45:08,Simple Earn subscription,-13195.16319421,13195.16319421,0.0,0.0,USDT
﻿4150106439,2024-02-29 03:36:38,Deposit,7999.0,5196.16319421,13195.16319421,0.0,USDT
﻿4150085945,2024-02-29 03:33:12,Place an order,-107.41,5303.57319421,5196.16319421,0.0,USDT
﻿4150072612,2024-02-29 03:31:02,Deposit,19.0,5284.57319421,5303.57319421,0.0,USDT
﻿4150043938,2024-02-29 03:25:37,Cancel an order,322.23,4962.34319421,5284.57319421,0.0,USDT
﻿4150040309,2024-02-29 03:24:59,Place an order,-322.23,5284.57319421,4962.34319421,0.0,USDT
﻿4150015076,2024-02-29 03:20:28,Place an order,-21.48,5306.05319421,5284.57319421,0.0,USDT
﻿4149981580,2024-02-29 03:14:12,Cancel an order,322.23,4983.82319421,5306.05319421,0.0,USDT
﻿4149922894,2024-02-29 03:08:02,Cancel an order,53.7,4930.12319421,4983.82319421,0.0,USDT
﻿4149871350,2024-02-29 03:06:50,Place an order,-53.7,4983.82319421,4930.12319421,0.0,USDT
﻿4149797869,2024-02-29 02:59:10,Place an order,-322.23,5306.05319421,4983.82319421,0.0,USDT
﻿4149700458,2024-02-29 02:42:50,Cancel an order,53.7,5252.35319421,5306.05319421,0.0,USDT
﻿4149648112,2024-02-29 02:34:40,Place an order,-53.7,5306.05319421,5252.35319421,0.0,USDT
﻿4149636686,2024-02-29 02:32:59,Cancel an order,160.94,5145.11319421,5306.05319421,0.0,USDT
﻿4149634618,2024-02-29 02:32:37,Place an order,-160.94,5306.05319421,5145.11319421,0.0,USDT
﻿4149621744,2024-02-29 02:30:42,Cancel an order,21.45,5284.60319421,5306.05319421,0.0,USDT
﻿4149607035,2024-02-29 02:28:40,Cancel an order,21.45,5263.15319421,5284.60319421,0.0,USDT
﻿4149543359,2024-02-29 02:21:50,Place an order,-21.45,5284.60319421,5263.15319421,0.0,USDT
﻿4149539422,2024-02-29 02:21:20,Cancel an order,107.29,5177.31319421,5284.60319421,0.0,USDT
﻿4149515204,2024-02-29 02:18:10,Place an order,-107.29,5284.60319421,5177.31319421,0.0,USDT
﻿4149485521,2024-02-29 02:13:38,Place an order,-21.45,5306.05319421,5284.60319421,0.0,USDT
﻿4149354431,2024-02-29 02:06:18,Place an order,-107.29,5413.34319421,5306.05319421,0.0,USDT
﻿4149341094,2024-02-29 02:04:51,Cancel an order,21.45,5391.89319421,5413.34319421,0.0,USDT
﻿4149335947,2024-02-29 02:03:30,Cancel an order,23.6,5368.29319421,5391.89319421,0.0,USDT
﻿4149333248,2024-02-29 02:02:44,Place an order,-23.6,5391.89319421,5368.29319421,0.0,USDT
﻿4149318974,2024-02-29 01:59:49,Cancel an order,37.55,5354.34319421,5391.89319421,0.0,USDT
﻿4149272519,2024-02-29 01:54:28,Cancel an order,21.45,5332.89319421,5354.34319421,0.0,USDT
﻿4149236998,2024-02-29 01:50:21,Place an order,-16.09,5348.98319421,5332.89319421,0.0,USDT
﻿4149232822,2024-02-29 01:49:50,Place an order,-21.45,5370.43319421,5348.98319421,0.0,USDT
﻿4149225896,2024-02-29 01:48:42,Cancel an order,16.09,5354.34319421,5370.43319421,0.0,USDT
﻿4149198101,2024-02-29 01:44:48,Place an order,-37.55,5391.89319421,5354.34319421,0.0,USDT
﻿4149182117,2024-02-29 01:42:53,Place an order,-16.09,5407.98319421,5391.89319421,0.0,USDT
﻿4149146942,2024-02-29 01:39:46,Cancel an order,107.29,5300.69319421,5407.98319421,0.0,USDT
﻿4149142401,2024-02-29 01:39:25,Place an order,-21.45,5322.14319421,5300.69319421,0.0,USDT
﻿4149141961,2024-02-29 01:39:23,Place an order,-107.29,5429.43319421,5322.14319421,0.0,USDT
﻿4149127771,2024-02-29 01:38:15,Cancel an order,107.29,5322.14319421,5429.43319421,0.0,USDT
﻿4149118916,2024-02-29 01:37:33,Cancel an order,28.96,5293.18319421,5322.14319421,0.0,USDT
﻿4149103673,2024-02-29 01:36:15,Place an order,-28.96,5322.14319421,5293.18319421,0.0,USDT
﻿4149064740,2024-02-29 01:33:41,Place an order,-16.09,5338.23319421,5322.14319421,0.0,USDT
﻿4149033840,2024-02-29 01:31:39,Cancel an order,16.09,5322.14319421,5338.23319421,0.0,USDT
﻿4149023540,2024-02-29 01:30:50,Cancel an order,100.0,5222.14319421,5322.14319421,0.0,USDT
﻿4149018172,2024-02-29 01:30:16,Place an order,-100.0,5322.14319421,5222.14319421,0.0,USDT
﻿4148983266,2024-02-29 01:25:56,Cancel an order,268.24,5053.90319421,5322.14319421,0.0,USDT
﻿4148961086,2024-02-29 01:23:12,Place an order,-107.29,5161.19319421,5053.90319421,0.0,USDT
﻿4148957130,2024-02-29 01:22:36,Cancel an order,21.45,5139.74319421,5161.19319421,0.0,USDT
﻿4148948571,2024-02-29 01:21:15,Cancel an order,23.06,5116.68319421,5139.74319421,0.0,USDT
﻿4148928755,2024-02-29 01:18:27,Cancel an order,214.59,4902.09319421,5116.68319421,0.0,USDT
﻿4148922282,2024-02-29 01:17:37,Place an order,-32.18,4934.27319421,4902.09319421,0.0,USDT
﻿4148915011,2024-02-29 01:16:37,Place an order,-16.09,4950.36319421,4934.27319421,0.0,USDT
﻿4148912236,2024-02-29 01:16:13,Place an order,-214.59,5164.95319421,4950.36319421,0.0,USDT
﻿4148906144,2024-02-29 01:15:19,Place an order,-214.59,5379.54319421,5164.95319421,0.0,USDT
﻿4148905328,2024-02-29 01:15:12,Place an order,-268.24,5647.78319421,5379.54319421,0.0,USDT
﻿4148886428,2024-02-29 01:12:32,Cancel an order,53.64,5594.14319421,5647.78319421,0.0,USDT
﻿4148876790,2024-02-29 01:11:01,Place an order,-107.29,5701.43319421,5594.14319421,0.0,USDT
﻿4148824777,2024-02-29 01:07:36,Place an order,-21.45,5722.88319421,5701.43319421,0.0,USDT
﻿4148811212,2024-02-29 01:07:11,Cancel an order,26.82,5696.06319421,5722.88319421,0.0,USDT
﻿4148755558,2024-02-29 01:06:14,Place an order,-23.06,5719.12319421,5696.06319421,0.0,USDT
﻿4148661629,2024-02-29 00:57:41,Place an order,-53.64,5772.76319421,5719.12319421,0.0,USDT
﻿4148660057,2024-02-29 00:57:29,Place an order,-53.64,5826.40319421,5772.76319421,0.0,USDT
﻿4148628209,2024-02-29 00:52:11,Place an order,-26.82,5853.22319421,5826.40319421,0.0,USDT
﻿4148582451,2024-02-29 00:44:10,Place an order,-53.64,5906.86319421,5853.22319421,0.0,USDT
﻿4148537529,2024-02-29 00:35:12,Cancel an order,236.05,5670.81319421,5906.86319421,0.0,USDT
﻿4148464502,2024-02-29 00:21:11,Cancel an order,32.18,5638.63319421,5670.81319421,0.0,USDT
﻿4148459769,2024-02-29 00:20:19,Place an order,-32.18,5670.81319421,5638.63319421,0.0,USDT
﻿4148459066,2024-02-29 00:20:11,Place an order,-236.05,5906.86319421,5670.81319421,0.0,USDT
﻿4148434239,2024-02-29 00:15:35,Cancel an order,21.45,5885.41319421,5906.86319421,0.0,USDT
﻿4148404491,2024-02-29 00:10:17,Cancel an order,107.29,5778.12319421,5885.41319421,0.0,USDT
﻿4148274850,2024-02-29 00:04:27,Cancel an order,53.64,5724.48319421,5778.12319421,0.0,USDT
﻿4148253143,2024-02-29 00:00:33,Place an order,-21.45,5745.93319421,5724.48319421,0.0,USDT
﻿4148228458,2024-02-28 23:56:38,Cancel an order,107.29,5638.64319421,5745.93319421,0.0,USDT
﻿4148223996,2024-02-28 23:55:46,Cancel an order,107.29,5531.35319421,5638.64319421,0.0,USDT
﻿4148218753,2024-02-28 23:55:15,Place an order,-107.29,5638.64319421,5531.35319421,0.0,USDT
﻿4148163623,2024-02-28 23:49:52,Cancel an order,214.59,5424.05319421,5638.64319421,0.0,USDT
﻿4148159049,2024-02-28 23:49:24,Place an order,-53.64,5477.69319421,5424.05319421,0.0,USDT
﻿4148154942,2024-02-28 23:49:00,Cancel an order,16.09,5461.60319421,5477.69319421,0.0,USDT
﻿4148154188,2024-02-28 23:48:55,Place an order,-214.59,5676.19319421,5461.60319421,0.0,USDT
﻿4148144805,2024-02-28 23:47:58,Cancel an order,110.51,5565.68319421,5676.19319421,0.0,USDT
﻿4148138601,2024-02-28 23:46:48,Place an order,-110.51,5676.19319421,5565.68319421,0.0,USDT
﻿4148132730,2024-02-28 23:45:40,Place an order,-16.09,5692.28319421,5676.19319421,0.0,USDT
﻿4148131411,2024-02-28 23:45:26,Cancel an order,160.94,5531.34319421,5692.28319421,0.0,USDT
﻿4148127766,2024-02-28 23:44:44,Cancel an order,107.29,5424.05319421,5531.34319421,0.0,USDT
﻿4148125049,2024-02-28 23:44:16,Place an order,-160.94,5584.99319421,5424.05319421,0.0,USDT
﻿4148110468,2024-02-28 23:41:37,Place an order,-107.29,5692.28319421,5584.99319421,0.0,USDT
